Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.8947368421052632,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9615384615384616
SVM,0.8947368421052632,0.9583333333333334,0.8846153846153846,0.92,0.9583333333333334
Logistic Regression,0.8421052631578947,0.9166666666666666,0.8461538461538461,0.88,0.9326923076923078
Decision Tree,0.8421052631578947,0.9545454545454546,0.8076923076923077,0.875,0.8926282051282051
XGBoost,0.7894736842105263,0.9090909090909091,0.7692307692307693,0.8333333333333334,0.9294871794871795
KNN,0.7894736842105263,1.0,0.6923076923076923,0.8181818181818182,0.9118589743589743
Gradient Boosting,0.7631578947368421,0.9473684210526315,0.6923076923076923,0.8,0.9230769230769231
